OBJECTID;NUM_PAVE;IGDS_LEVEL;LIB_LEVEL;LIB_CLASSE;nom_fichier;igds_basename;igds_style;igds_element_association_id;geom_origine;igds_element_type;igds_symbology;igds_color;igds_color_blue;igds_color_green;igds_color_red;igds_fill_color;igds_fill_color_blue;igds_fill_color_green;igds_fill_color_red;igds_rotation;igds_graphic_group;st_area(shape);st_perimeter(shape);geo_shape;geo_point_2d
603;084B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;60.61328945071378;33.726943648368795;"{""coordinates"": [[[2.325022327661675, 48.87597574701901], [2.325030780978153, 48.87597669581961], [2.325036629914699, 48.875956513478435], [2.325043479183384, 48.87593289231215], [2.3250352724406285, 48.87593185496885], [2.3250287932145333, 48.87593102521987], [2.3250289499414767, 48.87593050448752], [2.3248880717769325, 48.87591193464967], [2.3248807379578005, 48.8759370639631], [2.324874420292714, 48.8759586915881], [2.3250154232278786, 48.87597616495171], [2.325015780029974, 48.87597493487047], [2.325022327661675, 48.87597574701901]]], ""type"": ""Polygon""}";48.87594516235902, 2.3249585449113397
613;113A;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;8.24877163131354;15.338065169054456;"{""coordinates"": [[[2.373728198996032, 48.85181260125231], [2.3737317538605915, 48.85181821473443], [2.3737353086286417, 48.851823836310125], [2.3737288950551254, 48.85182555557966], [2.3737295100161897, 48.85182654808681], [2.373799559402872, 48.85180772881763], [2.3737910206915225, 48.851794183041044], [2.3737211987665883, 48.85181335424366], [2.3737218123645207, 48.85181434674374], [2.373728198996032, 48.85181260125231]]], ""type"": ""Polygon""}";48.851809689750844, 2.373763132116441
621;061B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;11.964240008323085;16.293494072153603;"{""coordinates"": [[[2.341967966630883, 48.85177747117088], [2.341949892115856, 48.85178186494901], [2.341960998410482, 48.8518016597006], [2.3420069495066, 48.85179033050181], [2.342030110330585, 48.85178461655069], [2.3420295369688273, 48.85178361511254], [2.342025394790253, 48.85178463468775], [2.342015459499173, 48.851767076784576], [2.342020585656388, 48.851765838681125], [2.342020012522027, 48.85176481925705], [2.341967966630883, 48.85177747117088]]], ""type"": ""Polygon""}";48.8517837538204, 2.341988131265867
636;143C;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;18.999066340277334;19.079890376564197;"{""coordinates"": [[[2.324977751780929, 48.82293637383099], [2.324940671330874, 48.82297844260475], [2.3249647789743997, 48.82298744299259], [2.324985581682981, 48.82299522674445], [2.3250217541365403, 48.82295385434937], [2.3250171590861193, 48.822952235608824], [2.325014558721684, 48.82295519698211], [2.3249934493876774, 48.82294700588336], [2.3249790863204227, 48.8229414448786], [2.324981921828078, 48.82293820602534], [2.324977751780929, 48.82293637383099]]], ""type"": ""Polygon""}";48.82296725087614, 2.3249802470850414
652;173C;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;6.775207927655385;13.026484980188382;"{""coordinates"": [[[2.3120079033281518, 48.886789362762556], [2.3120012343390104, 48.88679836990812], [2.311997554375962, 48.88679717873388], [2.311996358790066, 48.88679879965203], [2.312027125888874, 48.88680870539547], [2.3120539263782147, 48.88681733737168], [2.312062986291422, 48.88680510637098], [2.3120320439932662, 48.88679514567027], [2.3120054050773047, 48.88678656857718], [2.3120042109742562, 48.88678818051064], [2.3120079033281518, 48.886789362762556]]], ""type"": ""Polygon""}";48.886802382097464, 2.312031002343544
678;111B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;12.523047985492456;15.518397937199937;"{""coordinates"": [[[2.3710779688264583, 48.86978907593417], [2.371076136944453, 48.86978848173852], [2.371042768214882, 48.86983261771719], [2.3710711070567103, 48.86984161342111], [2.3711038734190124, 48.86979757229791], [2.3711020402817757, 48.86979696910266], [2.3710779688264583, 48.86978907593417]]], ""type"": ""Polygon""}";48.86981512171622, 2.3710734180834363
690;151I;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;31.911311209217693;24.142560149807807;"{""coordinates"": [[[2.287665763677538, 48.832042948144974], [2.287659000839916, 48.83203858995584], [2.287657007123435, 48.83203993524179], [2.2877111094262625, 48.832074832220215], [2.287773114089286, 48.83203398121187], [2.2877710752478237, 48.832032646986015], [2.287767795626741, 48.83203049503233], [2.2877276986963153, 48.83200410325505], [2.287724999781121, 48.83200232350314], [2.287695382422026, 48.83202263583197], [2.2876709647256814, 48.832039374417356], [2.287665763677538, 48.832042948144974]]], ""type"": ""Polygon""}";48.83203876440267, 2.287718092492516
718;172E;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;5.9100912735548174;12.251069294528403;"{""coordinates"": [[[2.3015681860155706, 48.88522624574721], [2.3015389541934894, 48.88522684145493], [2.301539049004119, 48.88522882143949], [2.301543141062742, 48.885228747283676], [2.3015438116575537, 48.885237312843685], [2.301539719598258, 48.88523738699953], [2.3015398021487585, 48.885239366013224], [2.301568351234183, 48.88523883736988], [2.3016002146543593, 48.885238265998694], [2.301599123037032, 48.88522560601906], [2.3015681860155706, 48.88522624574721]]], ""type"": ""Polygon""}";48.88523249391723, 2.3015709457127707
723;112B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;12.516073385381674;15.975362191336108;"{""coordinates"": [[[2.373328207044167, 48.86194469884317], [2.373296841696364, 48.861963377669944], [2.3732995846332026, 48.8619653804854], [2.373300710500531, 48.861964702879106], [2.373315906047031, 48.861975803024464], [2.373314765197613, 48.86197647965311], [2.37331750813583, 48.86197848246812], [2.3733442727275516, 48.86196255672221], [2.3733742927086103, 48.86194467125562], [2.3733536127444146, 48.86192955740249], [2.373328207044167, 48.86194469884317]]], ""type"": ""Polygon""}";48.861953776001336, 2.373335984474457
724;112B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;18.07694626229807;18.0139105389161;"{""coordinates"": [[[2.3745962167099366, 48.86095473792985], [2.3745696862326766, 48.86097053928066], [2.3745393929044685, 48.86098856752444], [2.374569283565131, 48.86101044023915], [2.3745929036606808, 48.86099636751033], [2.374626121112491, 48.86097660170937], [2.3746233795396954, 48.86097459892963], [2.3746221988688303, 48.860975303242775], [2.3745977913580916, 48.860957435202174], [2.3745989596436217, 48.86095674071738], [2.3745962167099366, 48.86095473792985]]], ""type"": ""Polygon""}";48.860982870775004, 2.3745822752448023
