identifiant interne,libellé,nom court,sigle,type d'établissement,typologie d'universités et assimilés,secteur d'établissement,vague contractuelle,localisation,site internet,géolocalisation,uai - identifiant,anciens codes uai,siret,siren,rna,Identifiant wikidata,Elément wikidata,identifiant_idref,Identifiant ETER,Identifiant ROR,Elément ROR,Identifiant PIC,Identifiant OrgRef,Identifiant ISNI,Elément ISNI,Elément Funding Data,date_creation,texte_de_ref_creation_lib,texte_de_ref_creation,Code commune,Commune,Code unité urbaine,Unité urbaine,Code département,Département,Code académie,Académie,Code région,Région,Ancien code région,Ancienne région,Mention distribution,Adresse,Lieu dit,Boite postale,Code postal,Localité,Pays,Numéro de téléphone,statut_juridique_court,Statut juridique,compte_facebook,compte_twitter,compte_instagram,compte_flickr,compte_pinterest,flux_rss,compte_linkedin,compte_france_culture,compte_scribd,compte_scoopit,compte_tumblr,compte_youtube,compte_vimeo,compte_dailymotion,compte_github,Page Wikipédia en français,Page Wikipédia en anglais,scanr,hal,mooc,article,uo_lib_officiel,English name,Site internet en anglais,Site internet en chinois,Site internet en espagnol,Site internet en allemand,Site internet en italien,universites_fusionnees,etablissement_experimental,champ_recherche,inscrits,Effectifs d'étudiants inscrits 2010-11,Effectifs d'étudiants inscrits 2011-12,Effectifs d'étudiants inscrits 2012-13,Effectifs d'étudiants inscrits 2013-14,Effectifs d'étudiants inscrits 2014-15,Effectifs d'étudiants inscrits 2015-16,Effectifs d'étudiants inscrits 2016-17,Effectifs d'étudiants inscrits 2017-18,Effectifs d'étudiants inscrits 2018-19,Effectifs d'étudiants inscrits 2019-20,Effectifs d'étudiants inscrits 2020-21,Effectifs d'étudiants inscrits 2021-22,Effectifs d'étudiants inscrits 2022-23,coordonnees,longitude,latitude
1v4lV,Pôle supérieur d'enseignement artistique Paris - Boulogne-Billancourt,PSPBB,,École,,public,,Île-de-France>Paris>Paris 8e,https://www.pspbb.fr/fr/,"48.878516, 2.320699",0755448P,,20003918800012,200039188,,Q30263695,https://www.wikidata.org/entity/Q30263695,,,00drbxw02,https://ror.org/00drbxw02,,,0000 0004 4910 9090,http://www.isni.org/0000 0004 4910 9090,,,,,75108,Paris 8e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,14 Rue de Madrid,,,75008,Paris,France,,EPLC,Établissement public local culturel,https://www.facebook.com/pspbb.pole,https://twitter.com/_PSPBB,,,,,,,,,,,,,,,,,,,au,,,http://www.pspbb.fr/en/,,,,,,,Pôle supérieur d'enseignement artistique Paris - Boulogne-Billancourt;PSPBB,,,,,,,,,,,,,,,"[-0.595453, 44.831791]",-0.595453,44.831791
6Jl2q,École spéciale d'architecture,,ÉSA,École,,privé,,Île-de-France>Paris>Paris 14e,http://www.esa-paris.fr/,"48.837534, 2.330967",0753533H,,78457366900016,784573669,,Q1140013,https://www.wikidata.org/entity/Q1140013,,,,,,,,,,1865,,,75114,Paris 14e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,254 boulevard Raspail,,,75014,Paris,France,,Association loi de 1901,Association loi de 1901,https://www.facebook.com/%C3%89cole-Sp%C3%A9ciale-dArchitecture-104888930938874/,,https://www.instagram.com/ecole_speciale/,,,,https://www.linkedin.com/school/esa-paris/,,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89cole_sp%C3%A9ciale_d%27architecture,https://en.wikipedia.org/wiki/%C3%89cole_Sp%C3%A9ciale_d%27Architecture,,,,à l',,,,,,,,,,École spéciale d'architecture;ÉSA,,,,,,,,,,,,,,,"[2.330967, 48.837534]",2.330967,48.837534
5Ic1n,École nationale supérieure d'architecture de Paris-Malaquais,ENSAPM,,École,,public,,Île-de-France>Paris>Paris 6e,http://paris-malaquais.archi.fr/,"48.85669993265381, 2.3335433006286626",0751871B,,18009221500011,180092215,,Q3578184,https://www.wikidata.org/entity/Q3578184,114520275,FR0181,05hca2307,https://ror.org/05hca2307,,,0000 0001 0381 2723,http://www.isni.org/0000 0001 0381 2723,,2001-01,,,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,14 rue Bonaparte,,,75006,Paris,France,33147035000.0,Autre établissement public national d'enseignement,Autre établissement public national d'enseignement,https://www.facebook.com/Ecole-nationale-sup%C3%A9rieure-darchitecture-Paris-Malaquais-936226349797670/,https://twitter.com/ENSAPM,,,,,,,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-Malaquais,,,,,à l',,,,,,,,,,École nationale supérieure d'architecture de Paris-Malaquais;ENSAPM,,,,,,,,,,,,,,,"[-1.568442, 47.228673]",-1.568442,47.228673
UKEsZ,Facultés Libres de Philosophie et de Psychologie,IPC,IPC,École,,privé,,Île-de-France>Paris>Paris 14e,http://www.ipc-paris.fr/,"48.838, 2.33569",0752139T,,77572847000045,775728470,,Q3146792,https://www.wikidata.org/entity/Q3146792,,FR0337,05rf37997,https://ror.org/05rf37997,,,0000 0001 2106 6293,http://www.isni.org/0000 0001 2106 6293,,1969-01-01,,,75114,Paris 14e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,70 avenue Denfert-Rochereau,,,75014,Paris,France,33143353850.0,Association loi de 1901,Association loi de 1901,,,,,,,,,,,,,,,,https://fr.wikipedia.org/wiki/IPC_-_Facult%C3%A9s_libres_de_philosophie_et_de_psychologie,,,,,à la,,,,,,,,,,Facultés Libres de Philosophie et de Psychologie;IPC,,,,,,,,,,,,,,,"[2.335584, 48.837881]",2.335584,48.837881
VAP7f,Institut supérieur d'électronique de Paris,,ISEP,École,,privé,Vague D,Île-de-France>Paris>Paris 6e,https://www.isep.fr/,"48.84531, 2.32804",0753559L,,78428074500026,784280745,W751032652,Q3152556,https://www.wikidata.org/entity/Q3152556,249214202,FR0205,00yw34h52,https://ror.org/00yw34h52,,,0000 0000 8830 3129,http://www.isni.org/0000 0000 8830 3129,,1955,,,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,28 rue Notre-Dame-des-Champs,,,75006,Paris,France,33149545200.0,Association loi de 1901,Association loi de 1901,,https://twitter.com/ISEP,,,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_d%27%C3%A9lectronique_de_Paris,https://en.wikipedia.org/wiki/Institut_sup%C3%A9rieur_d%27%C3%A9lectronique_de_Paris,https://scanr.enseignementsup-recherche.gouv.fr/entite/784280745,,,à l',,,https://en.isep.fr/,,,,,,,Institut supérieur d'électronique de Paris;ISEP,,,,,,,,,,,,,,,"[2.328116, 48.845353]",2.328116,48.845353
ZCW24,Conservatoire national supérieur de musique et de danse de Paris,CNSMDP,,École,,public,,Île-de-France>Paris>Paris 19e,http://www.conservatoiredeparis.fr/accueil/,"48.88882, 2.39076",0753495S,,19753495100037,197534951,,Q463055,https://www.wikidata.org/entity/Q463055,030464579,FR0201,030h5jp79,https://ror.org/030h5jp79,,,,,,,,,75119,Paris 19e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,209 avenue Jean Jaurès,,,75019,PARIS,France,,Autre établissement public national d'enseignement,Autre établissement public national d'enseignement,https://www.facebook.com/conservatoiredeparis.cnsmdp,https://twitter.com/CnsmdParis,,,,,,,,,,https://www.youtube.com/user/conservatoiredeparis,,,,https://fr.wikipedia.org/wiki/Conservatoire_national_sup%C3%A9rieur_de_musique_et_de_danse_de_Paris,https://en.wikipedia.org/wiki/Conservatoire_de_Paris,https://scanr.enseignementsup-recherche.gouv.fr/entite/197534951,,,au,,,http://www.conservatoiredeparis.fr/en/accueil/,,,,,,,Conservatoire national supérieur de musique et de danse de Paris;CNSMDP,,,,,,,,,,,,,,,"[4.053554, 49.2627]",4.053554,49.2627
4C5vX,École supérieure d'informatique électronique automatique,,ESIEA,École,,privé,Vague D,Île-de-France>Paris>Paris 5e,https://www.esiea.fr/,"48.83788, 2.352616",0753560M,,31134913800017,311349138,,Q3578402,https://www.wikidata.org/entity/Q3578402,,FR0206,00g6cx256,https://ror.org/00g6cx256,,40724236.0,0000 0001 0426 0668,http://www.isni.org/0000 0001 0426 0668,,1958,,,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,9 rue Vesale,,,75005,Paris,France,33155432323.0,Association loi de 1901,Association loi de 1901,https://www.facebook.com/esiea,https://twitter.com/GroupeESIEA,https://www.instagram.com/esiea_groupe/,https://www.flickr.com/photos/96365608@N06/,,,https://www.linkedin.com/company/esiea/,,,,,https://www.youtube.com/user/ingenieuresiea,,,,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27informatique_%C3%A9lectronique_automatique,https://en.wikipedia.org/wiki/ESIEA_(university),https://scanr.enseignementsup-recherche.gouv.fr/entite/311349138,,,à l',,,https://en.esiea.fr/,,,,,,,École supérieure d'informatique électronique automatique;ESIEA,,,,,,,,,,,,,,,"[2.352597, 48.837918]",2.352597,48.837918
bxPQe,Sorbonne Université,Sorbonne U,,Université,Université pluridisciplinaire avec santé,public,Vague D,Île-de-France>Paris>Paris 6e,https://www.sorbonne-universite.fr/,"48.85114773764701, 2.3403829336166386",0755890V,0751720M;0751722P,13002338500011,130023385,,Q41497113,https://www.wikidata.org/entity/Q41497113,221333754,,02en5vm52,https://ror.org/02en5vm52,909875521,,0000 0001 2308 1657,http://www.isni.org/0000 0001 2308 1657,501100005737.0,2018-01-01,Décret n° 2017-596 du 21 avril 2017 portant création de l'université Sorbonne Université,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000034455357/,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,21 rue de l’École de médecine,,,75006,PARIS,France,33144274427.0,EPSCP,"Établissement public à caractère scientifique, culturel et professionnel",https://www.facebook.com/sorbonne.univ/,https://twitter.com/Sorbonne_Univ_,https://www.instagram.com/sorbonne_univ/,,,https://www.sorbonne-universite.fr/flux-rss,https://www.linkedin.com/school/sorbonne-universite/,,,,,https://www.youtube.com/channel/UCJRfmVMO9aeYDHDAJuEv6bw?view_as=subscriber,,,,https://fr.wikipedia.org/wiki/Sorbonne-Universit%C3%A9,https://en.wikipedia.org/wiki/Sorbonne_University,https://scanr.enseignementsup-recherche.gouv.fr/entite/130023385,https://hal.sorbonne-universite.fr/,,à,,Sorbonne University,https://www.sorbonne-universite.fr/en,,,,,,,Sorbonne Université;Sorbonne U;Sorbonne University,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=bxPQe,,,,,,,,50741.0,49708.0,48236.0,47856.0,48971.0,49020.0,"[2.340383, 48.851227]",2.340383,48.851227
8k883,Université Sorbonne Nouvelle - Paris 3,Paris III,,Université,Université tertiaire - lettres et sciences Humaines,public,Vague D,Île-de-France>Paris>Paris 12e,http://www.univ-paris3.fr/,"48.844881806752355, 2.39701509475708",0751719L,,19751719600014,197517196,,Q571293,https://www.wikidata.org/entity/Q571293,027361837,FR0176,03z6jp965,https://ror.org/03z6jp965,999885119,,0000 0004 1937 060X,http://www.isni.org/0000 0004 1937 060X,,1971-01-01,Décret n° 70-1174 du 17 décembre 1970 portant érection en établissements publics à caractère scientifique et culturel d'universités et centres universitaires,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000511402/,75112,Paris 12e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,8 avenue de Saint-Mandé,,,75012,Paris,France,33140462884.0,EPSCP,"Établissement public à caractère scientifique, culturel et professionnel",https://www.facebook.com/SorbonneNouvelleP3,https://twitter.com/SorbonneParis3,,,,http://www.univ-paris3.fr/adminsite/webservices/export_rss.jsp?NOMBRE=10&CODE_RUBRIQUE=&LANGUE=0,https://www.linkedin.com/edu/school?id=12559&trk=edu-cp-title,https://www.franceculture.fr/conferences/universite-sorbonne-nouvelle-paris-3,,,,,,,,https://fr.wikipedia.org/wiki/Universit%C3%A9_Sorbonne-Nouvelle,https://en.wikipedia.org/wiki/Universit%C3%A9_Sorbonne_Nouvelle,,https://hal-univ-paris3.archives-ouvertes.fr/,,à l',Université Paris-III,University of Paris 3 - Sorbonne Nouvelle,,,,,,,,Université Paris-III;Université Sorbonne Nouvelle - Paris 3;Paris III;University of Paris 3 - Sorbonne Nouvelle,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=8k883,17178.0,17516.0,17188.0,16882.0,16624.0,16196.0,15937.0,15469.0,16123.0,15978.0,15638.0,15404.0,14995.0,"[2.396735, 48.845259]",2.396735,48.845259
42F7G,IPAG Business School,,,École,,privé,,Île-de-France>Paris>Paris 6e,https://www.ipag.fr/,"48.85497, 2.331248",0754273M;0752792C,,78428080200017,784280802,,Q24928475,https://www.wikidata.org/entity/Q24928475,,,00w56r274,https://ror.org/00w56r274,949302432,,0000 0001 0499 7862,http://www.isni.org/0000 0001 0499 7862,,1965,,,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,184 BOULEVARD ST GERMAIN,,,75006,PARIS,France,,Association loi de 1901,Association loi de 1901,https://www.facebook.com/IPAGBusinessSchool/,https://twitter.com/IpagBS,https://www.instagram.com/ipagbusinessschool/,,,,https://www.linkedin.com/school/1212475?pathWildcard=1212475,,,,,http://www.youtube.com/user/Ipagcommunication,,,,https://fr.wikipedia.org/wiki/IPAG_Business_School,https://en.wikipedia.org/wiki/IPAG_Business_School,https://scanr.enseignementsup-recherche.gouv.fr/entite/784280802,,,à l',,,https://www.ipag.fr/en/,http://www.ipagcn.com/,,,,,,IPAG Business School,,,,,,,,,,,,,,,"[2.331225, 48.854441]",2.331225,48.854441
VaJ52,Muséum national d'histoire naturelle,,MNHN,Grand établissement,,public,Vague D,Île-de-France>Paris>Paris 5e,http://www.mnhn.fr/fr,"48.84202, 2.35616",0753494R,,18004417400019,180044174,,Q838691,https://www.wikidata.org/entity/Q838691,026394944,FR0200,03wkt5x30,https://ror.org/03wkt5x30,999662310,525856.0,0000 0001 2174 9334,http://www.isni.org/0000 0001 2174 9334,501100007522.0,1793,,,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,57 rue Cuvier,,,75005,PARIS,France,33140793000.0,EPSCP,"Établissement public à caractère scientifique, culturel et professionnel",https://www.facebook.com/museumnationaldhistoirenaturelle,https://twitter.com/Le_Museum,,,,,,,,,,,https://vimeo.com/channels/mnhn,https://www.dailymotion.com/MNHN,,https://fr.wikipedia.org/wiki/Mus%C3%A9um_national_d%27histoire_naturelle,"https://en.wikipedia.org/wiki/National_Museum_of_Natural_History,_France",https://scanr.enseignementsup-recherche.gouv.fr/entite/180044174,,,au,Muséum national d'histoire naturelle,National museum of natural history,https://www.mnhn.fr/en,,,,,,,Muséum national d'histoire naturelle;National museum of natural history;MNHN,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=VaJ52,371.0,385.0,324.0,329.0,361.0,376.0,394.0,424.0,427.0,420.0,385.0,422.0,420.0,"[3.155747, 50.695855]",3.155747,50.695855
cZd69,Groupe Institut catholique d'arts et métiers,Groupe ICAM,,École,,privé,Vague D,Île-de-France>Paris>Paris 9e,https://www.icam.fr/,"48.87961, 2.328815",,,"43994642700044,43994642700036,43994642700028",439946427,W751149975,Q3151859,https://www.wikidata.org/entity/Q3151859,,,01swx2932,https://ror.org/01swx2932,,,,,,1898,,,75109,Paris 9e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,3 Rue de Liège,,,75009,Paris,France,,Association loi de 1901,Association loi de 1901,https://www.facebook.com/Icam/,https://twitter.com/Icam_fr,https://www.instagram.com/Icam_fr/,,,,https://www.linkedin.com/school/icam-institut-catholique-d'arts-et-metiers/,,,,,https://www.youtube.com/user/GroupeIcam,,,,https://fr.wikipedia.org/wiki/Institut_catholique_d%27arts_et_m%C3%A9tiers,https://en.wikipedia.org/wiki/Institut_catholique_d%27arts_et_m%C3%A9tiers,https://scanr.enseignementsup-recherche.gouv.fr/entite/439946427,,,dans le,,,,,,,,,,Groupe Institut catholique d'arts et métiers;Groupe ICAM,,,,,,,,,,,,,,,"[2.231407, 48.966493]",2.231407,48.966493
jKV15,École centrale d'électronique,ECE,,École,,privé,Vague D,Île-de-France>Paris>Paris 15e,https://www.ece.fr/ecole-ingenieur/,"48.85152, 2.28683",0754431J,,"37936409400019,37936409400027",379364094,,Q3577731,https://www.wikidata.org/entity/Q3577731,,,02k6n4s14,https://ror.org/02k6n4s14,,,0000 0004 0640 3409,http://www.isni.org/0000 0004 0640 3409,,1909,,,75115,Paris 15e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,Immeuble Pollux,37 quai de Grenelle,,,75015,Paris,France,33144390600.0,Association loi de 1901,Association loi de 1901,,,,,,,,,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89cole_centrale_d%27%C3%A9lectronique,https://en.wikipedia.org/wiki/%C3%89cole_centrale_d%27%C3%A9lectronique,,,,à l',,,,,,,,,,École centrale d'électronique;ECE,,,,,,,,,,,,,,,"[2.285922, 48.852018]",2.285922,48.852018
4i3C4,École nationale supérieure d'architecture de Paris-La Villette,ENSAPLV,,École,,public,,Île-de-France>Paris>Paris 19e,http://www.paris-lavillette.archi.fr/,"48.89325, 2.38192",0751875F,,19751875600014,197518756,,Q3578185,https://www.wikidata.org/entity/Q3578185,185977049,FR0182,03e2r1r87,https://ror.org/03e2r1r87,,,0000 0001 2322 3651,http://www.isni.org/0000 0001 2322 3651,,,,,75119,Paris 19e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,144  RUE DE FLANDRE,,,75019,PARIS,France,,Autre établissement public national d'enseignement,Autre établissement public national d'enseignement,https://www.facebook.com/La-Salle-dExpo-ENSAPLV-246558815401564/,https://twitter.com/ENSAPLV,,,,,,,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-La_Villette,https://en.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-La_Villette,,,,à l',,,http://www.paris-lavillette.archi.fr/index.php?page=foreign-exchange-students,,,,,,,École nationale supérieure d'architecture de Paris-La Villette;ENSAPLV,,,,,,,,,,,,,,,"[3.053759, 50.627425]",3.053759,50.627425
