,adresse,code_postal,lat,lon,taille,surface,loyer,_src
171,14-16 Place de la Porte de Vanves,75014,48.827031,2.303918,T1,21,416,https://www.crous-paris.fr/logement/residence-porte-de-vanves/
172,14-16 Place de la Porte de Vanves,75014,48.827031,2.303918,T1,23,441,https://www.crous-paris.fr/logement/residence-porte-de-vanves/
173,9 rue Poulet,75018,48.886881,2.348528,T1,18,351,https://www.crous-paris.fr/logement/residence-poulet-2/
174,9 rue Poulet,75018,48.886881,2.348528,T1,30,529,https://www.crous-paris.fr/logement/residence-poulet-2/
175,37 Bd du Port Royal ,75013,48.837275,2.346275,T1,11,215,https://www.crous-paris.fr/logement/residence-pour-la-reussite-lourcine/
176,37 Bd du Port Royal ,75013,48.837275,2.346275,T1,22,378,https://www.crous-paris.fr/logement/residence-pour-la-reussite-lourcine/
177,3-5 rue de Reims,75013,48.828653,2.372063,T1,18,362,https://www.crous-paris.fr/logement/residence-reims/
178,3-5 rue de Reims,75013,48.828653,2.372063,T1,21,402,https://www.crous-paris.fr/logement/residence-reims/
179,8 rue Rollin ,75005,48.844674,2.351265,T1,18,347,https://www.crous-paris.fr/logement/residence-rollin/
180,8 rue Rollin ,75005,48.844674,2.351265,T1,21,380,https://www.crous-paris.fr/logement/residence-rollin/
181,8 rue Rollin ,75005,48.844674,2.351265,T1,21,50,https://www.crous-paris.fr/logement/residence-rollin/
182,8 rue Rollin ,75005,48.844674,2.351265,T1,28,50,https://www.crous-paris.fr/logement/residence-rollin/
183,8 rue Rollin ,75005,48.844674,2.351265,T1,34,50,https://www.crous-paris.fr/logement/residence-rollin/
184,8 rue Rollin ,75005,48.844674,2.351265,T1,40,50,https://www.crous-paris.fr/logement/residence-rollin/
185,5/7 rue Romy Schneider ,75018,48.888117,2.361177,T1,18,404,https://www.crous-paris.fr/logement/residence-romy-schneider/
186,5/7 rue Romy Schneider ,75018,48.888117,2.361177,T1,19,424,https://www.crous-paris.fr/logement/residence-romy-schneider/
187,5/7 rue Romy Schneider ,75018,48.888117,2.361177,T1,24,483,https://www.crous-paris.fr/logement/residence-romy-schneider/
188,26 rue du faubourg Saint-Jacques,75014,48.837328,2.338563,T1,11,433,https://www.crous-paris.fr/logement/residence-saint-jacques/
189,26 rue du faubourg Saint-Jacques,75014,48.837328,2.338563,T1,15,508,https://www.crous-paris.fr/logement/residence-saint-jacques/
190,26 rue du faubourg Saint-Jacques,75014,48.837328,2.338563,T1,18,523,https://www.crous-paris.fr/logement/residence-saint-jacques/
191,9 rue de la Tombe Issoire,75014,48.83257,2.335803,T1,17,355,https://www.crous-paris.fr/logement/residence-tombe-issoire/
192,9 rue de la Tombe Issoire,75014,48.83257,2.335803,T1,18,367,https://www.crous-paris.fr/logement/residence-tombe-issoire/
193,9 rue de la Tombe Issoire,75014,48.83257,2.335803,T1,22,415,https://www.crous-paris.fr/logement/residence-tombe-issoire/
194,383 rue de Vaugirard,75015,48.835565,2.293132,T1,17,393,https://www.crous-paris.fr/logement/residence-vaugirard/
195,383 rue de Vaugirard,75015,48.835565,2.293132,T1,18,408,https://www.crous-paris.fr/logement/residence-vaugirard/
196,383 rue de Vaugirard,75015,48.835565,2.293132,T1,19,422,https://www.crous-paris.fr/logement/residence-vaugirard/
197,383 rue de Vaugirard,75015,48.835565,2.293132,T1,21,443,https://www.crous-paris.fr/logement/residence-vaugirard/
198,150 boulevard Vincent Auriol ,75013,48.832479,2.359994,T1,22,410,https://www.crous-paris.fr/logement/residence-vincent-auriol/
199,150 boulevard Vincent Auriol ,75013,48.832479,2.359994,T1,24,432,https://www.crous-paris.fr/logement/residence-vincent-auriol/
200,150 boulevard Vincent Auriol ,75013,48.832479,2.359994,T5,79,380,https://www.crous-paris.fr/logement/residence-vincent-auriol/
201,150 boulevard Vincent Auriol ,75013,48.832479,2.359994,T6,92,369,https://www.crous-paris.fr/logement/residence-vincent-auriol/
