list_id,first_publication_date,price,Latitude,Longitude,urls
2934525807,2025-02-10 20:04:38,775,48.87692,2.35271,https://www.leboncoin.fr/ad/locations/2934525807
2929575007,2025-02-02 08:10:00,775,48.84330409854222,2.3314540950941605,https://www.leboncoin.fr/ad/locations/2929575007
2934711906,2025-02-11 10:35:00,780,48.88766,2.35625,https://www.leboncoin.fr/ad/locations/2934711906
2934524847,2025-02-10 20:03:25,780,48.8428,2.31214,https://www.leboncoin.fr/ad/locations/2934524847
2934170984,2025-02-10 13:32:08,780,48.86522494854764,2.366982318824153,https://www.leboncoin.fr/ad/locations/2934170984
2895627820,2024-12-03 10:19:00,780,48.83181875636456,2.3569626339766048,https://www.leboncoin.fr/ad/locations/2895627820
2918644754,2025-01-13 14:26:00,780,48.885700506794315,2.3591942517225104,https://www.leboncoin.fr/ad/locations/2918644754
2877332777,2024-11-05 09:04:00,780,48.87937507968865,2.3371168069058905,https://www.leboncoin.fr/ad/locations/2877332777
2915705063,2025-01-08 17:20:10,780,48.88479,2.31366,https://www.leboncoin.fr/ad/locations/2915705063
2910828601,2024-12-30 10:17:00,780,48.85586863383359,2.3378859549781876,https://www.leboncoin.fr/ad/locations/2910828601
2928667603,2025-01-31 17:57:16,780,48.83137,2.35262,https://www.leboncoin.fr/ad/locations/2928667603
2920749980,2025-01-17 19:39:09,780,48.88297,2.28589,https://www.leboncoin.fr/ad/locations/2920749980
2931913112,2025-02-06 11:24:00,783,48.83943939354062,2.4577989403153935,https://www.leboncoin.fr/ad/locations/2931913112
2926793470,2025-01-27 18:11:00,783,48.83349040647817,2.370514384660471,https://www.leboncoin.fr/ad/locations/2926793470
2901454166,2024-12-11 12:18:00,785,48.82397713537832,2.382558977086638,https://www.leboncoin.fr/ad/locations/2901454166
2924937040,2025-01-25 08:54:19,785,48.82126,2.36094,https://www.leboncoin.fr/ad/locations/2924937040
2919418896,2025-01-15 07:57:00,790,48.888574553895815,2.3192373757412996,https://www.leboncoin.fr/ad/locations/2919418896
2935042184,2025-02-11 19:13:58,790,48.87359,2.30037,https://www.leboncoin.fr/ad/locations/2935042184
2934705850,2025-02-11 10:25:37,790,48.88036,2.35244,https://www.leboncoin.fr/ad/locations/2934705850
2934524307,2025-02-10 17:44:00,790,48.89247,2.34464,https://www.leboncoin.fr/ad/locations/2934524307
2929435861,2025-02-01 20:49:00,790,48.85639588746291,2.361507793747263,https://www.leboncoin.fr/ad/locations/2929435861
2918123477,2025-01-12 19:40:09,790,48.87944,2.31968,https://www.leboncoin.fr/ad/locations/2918123477
2917307850,2025-01-12 08:46:55,790,48.894675437104006,2.338103753698864,https://www.leboncoin.fr/ad/locations/2917307850
2886371716,2024-11-18 09:25:00,791,48.88856338744898,2.358503180370007,https://www.leboncoin.fr/ad/locations/2886371716
2933927359,2025-02-09 19:17:32,795,48.89426,2.34058,https://www.leboncoin.fr/ad/locations/2933927359
2934151731,2025-02-10 10:45:37,800,48.8324,2.29074,https://www.leboncoin.fr/ad/locations/2934151731
2935155122,2025-02-12 00:20:51,800,48.871675020391365,2.287782391228185,https://www.leboncoin.fr/ad/locations/2935155122
2917440313,2025-01-11 07:44:00,800,48.86791598530449,2.371776454202336,https://www.leboncoin.fr/ad/locations/2917440313
2935209668,2025-02-11 11:21:00,800,48.83091404992652,2.3306748404943893,https://www.leboncoin.fr/ad/locations/2935209668
2926429628,2025-01-27 13:34:00,800,48.889198586499,2.3557840811075805,https://www.leboncoin.fr/ad/locations/2926429628
2935166875,2025-02-11 09:44:00,800,48.8381292927265,2.333402769696085,https://www.leboncoin.fr/ad/locations/2935166875
2934612117,2025-02-11 00:11:17,800,48.84737,2.27117,https://www.leboncoin.fr/ad/locations/2934612117
2934397426,2025-02-10 16:59:46,800,48.86494,2.35912,https://www.leboncoin.fr/ad/locations/2934397426
2934498689,2025-02-10 08:58:00,800,48.86471,2.39866,https://www.leboncoin.fr/ad/locations/2934498689
2933685715,2025-02-09 15:05:06,800,48.86421,2.35551,https://www.leboncoin.fr/ad/locations/2933685715
2933670909,2025-02-09 14:48:20,800,48.86121,2.26713,https://www.leboncoin.fr/ad/locations/2933670909
2933232997,2025-02-08 18:48:49,800,48.85994,2.37767,https://www.leboncoin.fr/ad/locations/2933232997
2922620109,2025-01-20 15:46:00,800,48.82387093767514,2.4458337225665643,https://www.leboncoin.fr/ad/locations/2922620109
2929560360,2025-02-02 11:11:26,800,48.84061,2.28925,https://www.leboncoin.fr/ad/locations/2929560360
2929471601,2025-02-02 08:53:46,800,48.8696,2.38183,https://www.leboncoin.fr/ad/locations/2929471601
2929290914,2025-02-01 18:20:55,800,48.856,2.40114,https://www.leboncoin.fr/ad/locations/2929290914
2929035645,2025-02-01 18:07:31,800,48.86455,2.27293,https://www.leboncoin.fr/ad/locations/2929035645
2928807051,2025-01-31 22:59:58,800,48.8492,2.37822,https://www.leboncoin.fr/ad/locations/2928807051
2928638693,2025-01-31 17:16:16,800,48.842339941492824,2.4575547024935536,https://www.leboncoin.fr/ad/locations/2928638693
2924520485,2025-01-24 14:59:19,800,48.83694077280159,2.3543107467504805,https://www.leboncoin.fr/ad/locations/2924520485
2915153064,2025-01-07 16:26:29,800,48.83176362942199,2.284893745265105,https://www.leboncoin.fr/ad/locations/2915153064
2910703144,2024-12-30 13:58:19,800,48.87998372265616,2.297480442427964,https://www.leboncoin.fr/ad/locations/2910703144
2903951450,2024-12-15 23:14:46,800,48.88705,2.35995,https://www.leboncoin.fr/ad/locations/2903951450
2934754594,2025-02-11 11:45:01,805,48.87552,2.39047,https://www.leboncoin.fr/ad/locations/2934754594
