list_id,first_publication_date,price,urls
2933109540,2025-02-08 16:20:09,500,https://www.leboncoin.fr/ad/locations/2933109540
2927642168,2025-01-29 13:23:00,500,https://www.leboncoin.fr/ad/locations/2927642168
2932308691,2025-02-07 10:45:15,500,https://www.leboncoin.fr/ad/locations/2932308691
2915917705,2025-01-08 21:48:00,500,https://www.leboncoin.fr/ad/locations/2915917705
2927183086,2025-01-28 19:29:01,500,https://www.leboncoin.fr/ad/locations/2927183086
2931922752,2025-02-06 14:29:46,515,https://www.leboncoin.fr/ad/locations/2931922752
2928877079,2025-02-01 08:42:50,515,https://www.leboncoin.fr/ad/locations/2928877079
2933568116,2025-02-09 12:39:36,520,https://www.leboncoin.fr/ad/locations/2933568116
2906533335,2024-12-21 07:21:00,520,https://www.leboncoin.fr/ad/locations/2906533335
2923989472,2025-01-23 10:55:00,520,https://www.leboncoin.fr/ad/locations/2923989472
2931057260,2025-02-04 19:42:23,542,https://www.leboncoin.fr/ad/locations/2931057260
2933887567,2025-02-09 18:32:32,550,https://www.leboncoin.fr/ad/locations/2933887567
2933492774,2025-02-09 11:18:00,550,https://www.leboncoin.fr/ad/locations/2933492774
2907021458,2024-12-22 07:03:00,550,https://www.leboncoin.fr/ad/locations/2907021458
2898637811,2024-12-07 15:41:00,550,https://www.leboncoin.fr/ad/locations/2898637811
2921487074,2025-01-19 07:01:00,550,https://www.leboncoin.fr/ad/locations/2921487074
2932245788,2025-02-07 08:23:05,550,https://www.leboncoin.fr/ad/locations/2932245788
2926720413,2025-01-27 21:55:11,550,https://www.leboncoin.fr/ad/locations/2926720413
2926250550,2025-01-27 16:38:19,550,https://www.leboncoin.fr/ad/locations/2926250550
2926530692,2025-01-27 16:35:18,550,https://www.leboncoin.fr/ad/locations/2926530692
2926393324,2025-01-27 13:05:37,550,https://www.leboncoin.fr/ad/locations/2926393324
2925488573,2025-01-27 08:28:39,550,https://www.leboncoin.fr/ad/locations/2925488573
2926190610,2025-01-26 22:52:22,550,https://www.leboncoin.fr/ad/locations/2926190610
2925828037,2025-01-26 14:57:01,550,https://www.leboncoin.fr/ad/locations/2925828037
2903103711,2024-12-14 15:26:00,555,https://www.leboncoin.fr/ad/locations/2903103711
2903788010,2024-12-15 17:27:58,555,https://www.leboncoin.fr/ad/locations/2903788010
2931123599,2025-02-04 21:35:13,560,https://www.leboncoin.fr/ad/locations/2931123599
2932630699,2025-02-07 19:24:31,570,https://www.leboncoin.fr/ad/locations/2932630699
2932082951,2025-02-06 18:43:36,570,https://www.leboncoin.fr/ad/locations/2932082951
2926164422,2025-01-26 21:41:21,575,https://www.leboncoin.fr/ad/locations/2926164422
2878660833,2024-11-07 08:02:00,580,https://www.leboncoin.fr/ad/locations/2878660833
2931369124,2025-02-05 13:37:12,590,https://www.leboncoin.fr/ad/locations/2931369124
2930155019,2025-02-03 09:04:55,590,https://www.leboncoin.fr/ad/locations/2930155019
2924761420,2025-01-24 18:44:26,590,https://www.leboncoin.fr/ad/locations/2924761420
2929809322,2025-02-02 16:12:23,595,https://www.leboncoin.fr/ad/locations/2929809322
2920611706,2025-01-17 16:31:01,595,https://www.leboncoin.fr/ad/locations/2920611706
2933822179,2025-02-09 17:27:04,600,https://www.leboncoin.fr/ad/locations/2933822179
